Résultats moyennés sur 10 simulations, avec N = 55
================================================================================
                                                                                        RMSE moyen      RMSE std     RMV moyen  Temps moyen (s)
KETKF-sigmoid (infl=1.05, c=0.01, reg=0.0001, sigma=1.0, deg=2, log_tr=True)          1.052923e-01  8.056098e-02  5.613070e-02        11.324624
KETKF-hyperbolique (infl=1.05, c=0.0001, reg=0.001, sigma=1.0, deg=2, log_tr=True)    1.066210e-01  7.305848e-02  7.238254e-02        11.508798
KETKF-linear (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=2, log_tr=True)              1.068041e-01  1.282503e-01  2.939973e-01        11.042836
KETKF-hyperbolique (infl=1.001, c=0.01, reg=0.001, sigma=1.0, deg=2, log_tr=True)     1.083261e-01  1.601888e-01  1.095429e-01        11.316676
KETKF-sigmoid (infl=1.05, c=0.01, reg=0.001, sigma=1.0, deg=2, log_tr=True)           1.086228e-01  5.640286e-02  5.599984e-02        11.323211
KETKF-sigmoid (infl=1.01, c=0.01, reg=0.0001, sigma=1.0, deg=2, log_tr=True)          1.172760e-01  4.457310e-02  5.375867e-02        11.149136
KETKF-linear (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=2, log_tr=True)             1.189848e-01  1.604103e-01  1.456737e-01        11.127124
KETKF-sigmoid (infl=1.01, c=0.01, reg=0.001, sigma=1.0, deg=2, log_tr=True)           1.203468e-01  5.813574e-02  5.365104e-02        11.150569
KETKF-sigmoid (infl=1.001, c=0.01, reg=0.001, sigma=1.0, deg=2, log_tr=True)          1.209546e-01  3.123716e-02  5.327458e-02        11.232759
EnKF-DEnKF (infl=1.001, log_tr=True)                                                  1.696603e-01  1.659213e-01  1.713863e-01         9.500848
KETKF-hyperbolique (infl=1.01, c=0.01, reg=0.001, sigma=1.0, deg=2, log_tr=True)      1.727279e-01  3.489020e-01  3.012331e-01        11.330059
KETKF-sigmoid (infl=1.01, c=0.001, reg=0.0001, sigma=1.0, deg=2, trunc=True)          1.927233e-01  3.481830e-02  2.913195e-03        11.151956
KETKF-sigmoid (infl=1.01, c=0.001, reg=0.001, sigma=1.0, deg=2, trunc=True)           1.968250e-01  3.531717e-02  2.913132e-03        11.188252
KETKF-sigmoid (infl=1.001, c=0.001, reg=0.0001, sigma=1.0, deg=2, trunc=True)         1.968847e-01  3.468537e-02  2.885420e-03        11.074819
KETKF-sigmoid (infl=1.001, c=0.001, reg=0.001, sigma=1.0, deg=2, trunc=True)          1.971667e-01  3.203034e-02  2.887227e-03        11.175016
KETKF-sigmoid (infl=1.05, c=0.001, reg=0.001, sigma=1.0, deg=2, trunc=True)           2.009540e-01  3.059938e-02  3.032688e-03        11.165726
KETKF-sigmoid (infl=1.05, c=0.001, reg=0.0001, sigma=1.0, deg=2, trunc=True)          2.035659e-01  3.235978e-02  3.035029e-03        11.217553
KETKF-sigmoid (infl=1.001, c=0.01, reg=0.001, sigma=1.0, deg=2, trunc=True)           5.530915e-01  3.467531e-02  8.850775e-03        11.162701
KETKF-sigmoid (infl=1.001, c=0.01, reg=0.0001, sigma=1.0, deg=2, trunc=True)          5.547652e-01  3.370317e-02  8.854289e-03        11.078553
KETKF-sigmoid (infl=1.01, c=0.01, reg=0.001, sigma=1.0, deg=2, trunc=True)            5.568512e-01  3.668154e-02  8.939137e-03        11.162104
KETKF-sigmoid (infl=1.01, c=0.01, reg=0.0001, sigma=1.0, deg=2, trunc=True)           5.577760e-01  3.539185e-02  8.933117e-03        11.106532
KETKF-sigmoid (infl=1.05, c=0.01, reg=0.0001, sigma=1.0, deg=2, trunc=True)           5.728021e-01  3.286433e-02  9.307271e-03        11.234967
KETKF-sigmoid (infl=1.05, c=0.01, reg=0.001, sigma=1.0, deg=2, trunc=True)            5.768495e-01  3.693104e-02  9.312054e-03        11.195481
EnKF-Sqrt (infl=1.001, log_tr=True)                                                   9.847056e-01  2.682671e+00  5.139250e-01         9.905893
KETKF-sigmoid (infl=1.001, c=0.1, reg=0.0001, sigma=1.0, deg=2, log_tr=True)          2.228854e+00  5.618968e-01  1.408971e-01        10.371048
KETKF-sigmoid (infl=1.001, c=0.1, reg=0.001, sigma=1.0, deg=2, log_tr=True)           2.284570e+00  4.324675e-01  1.382500e-01        10.437609
KETKF-sigmoid (infl=1.05, c=0.1, reg=0.001, sigma=1.0, deg=2, log_tr=True)            2.402759e+00  4.762316e-01  1.301669e-01        10.618766
KETKF-sigmoid (infl=1.05, c=0.1, reg=0.0001, sigma=1.0, deg=2, log_tr=True)           2.407390e+00  3.826041e-01  1.286992e-01        10.687746
KETKF-rbf (infl=1.05, c=1.0, reg=0.001, sigma=0.5, deg=2, log_tr=True)                2.438157e+00  4.332754e-02  7.836468e-01        11.385799
KETKF-rbf (infl=1.05, c=1.0, reg=0.0001, sigma=0.5, deg=2, log_tr=True)               2.438460e+00  3.935782e-02  7.838059e-01        11.364758
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.0001, sigma=0.5, deg=2, log_tr=True)           2.452958e+00  4.913363e-02  7.850262e-01        12.132567
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.001, sigma=0.5, deg=2, log_tr=True)            2.459973e+00  3.094320e-02  7.856785e-01        12.173094
KETKF-rbf (infl=1.05, c=1.0, reg=0.001, sigma=0.25, deg=2, log_tr=True)               2.475795e+00  3.652441e-02  7.869737e-01        11.770018
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.001, sigma=0.25, deg=2, log_tr=True)           2.476466e+00  3.068685e-02  7.873176e-01        12.411189
KETKF-rbf (infl=1.05, c=1.0, reg=0.0001, sigma=0.25, deg=2, log_tr=True)              2.477682e+00  3.331052e-02  7.873363e-01        11.761354
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.0001, sigma=0.25, deg=2, log_tr=True)          2.478561e+00  3.770778e-02  7.872145e-01        12.344787
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.001, sigma=0.1, deg=2, log_tr=True)            2.507619e+00  3.031611e-02  7.902876e-01        11.309651
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.0001, sigma=0.1, deg=2, log_tr=True)           2.510498e+00  2.403620e-02  7.903741e-01        11.273908
KETKF-rbf (infl=1.05, c=1.0, reg=0.0001, sigma=0.1, deg=2, log_tr=True)               2.512736e+00  2.866026e-02  7.908876e-01        11.211076
KETKF-rbf (infl=1.05, c=1.0, reg=0.001, sigma=0.1, deg=2, log_tr=True)                2.517277e+00  2.839325e-02  7.912015e-01        11.208834
KETKF-sigmoid (infl=1.01, c=0.1, reg=0.0001, sigma=1.0, deg=2, log_tr=True)           2.523544e+00  5.272820e-01  1.313024e-01        10.321342
KETKF-sigmoid (infl=1.01, c=0.1, reg=0.001, sigma=1.0, deg=2, log_tr=True)            2.538250e+00  5.579874e-01  1.185277e-01        10.456830
KETKF-sigmoid (infl=1.01, c=0.1, reg=0.0001, sigma=1.0, deg=2, trunc=True)            2.732886e+00  9.014593e-02  3.806356e-02         9.013827
KETKF-sigmoid (infl=1.001, c=0.1, reg=0.001, sigma=1.0, deg=2, trunc=True)            2.738396e+00  6.820322e-02  3.788793e-02         9.048692
KETKF-sigmoid (infl=1.01, c=0.1, reg=0.001, sigma=1.0, deg=2, trunc=True)             2.742817e+00  6.049178e-02  3.795225e-02         9.026215
KETKF-sigmoid (infl=1.001, c=0.1, reg=0.0001, sigma=1.0, deg=2, trunc=True)           2.762854e+00  7.509056e-02  3.781877e-02         9.014404
KETKF-sigmoid (infl=1.05, c=0.1, reg=0.001, sigma=1.0, deg=2, trunc=True)             2.795421e+00  6.884611e-02  3.944786e-02         9.078381
KETKF-sigmoid (infl=1.05, c=0.1, reg=0.0001, sigma=1.0, deg=2, trunc=True)            2.809230e+00  7.858885e-02  3.963253e-02         9.080539
EnKF-PertObs (infl=1.001, log_tr=True, rot=False)                                     4.568867e+00  1.275953e+01  2.829239e+01         9.024629
EnKF-DEnKF (infl=1.01, trunc=True)                                                    4.721874e+00  1.796862e+00  3.708389e+00         9.367293
KETKF-polynomial (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=3, log_tr=True)         4.883567e+00  5.303632e-02  3.270816e-01        11.560176
KETKF-polynomial (infl=1.05, c=1.0, reg=0.01, sigma=1.0, deg=3, log_tr=True)          4.891454e+00  5.923667e-02  3.176533e-01        11.553630
KETKF-polynomial (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=3, log_tr=True)          4.992805e+00  1.049311e+00  5.347856e-01        11.380466
KETKF-rbf (infl=1.01, c=1.0, reg=0.001, sigma=0.5, deg=2, log_tr=True)                5.025645e+00  6.720170e-02  1.013250e+00        11.250401
